hidden,lr,neg_ratio,zeta,seed,ARI,NMI,H,time_sec,elbo,AIC,BIC,ICL,Q_tested,N
[32],0.005,3,0.7,13,0.7691220452569135,0.8744294737182016,0.27627813799626516,23.91476607322693,-128904.59375,-129218.6328125,-143945.36402635495,-126481.68969172538,5,700
[32],0.005,3,0.7,14,1.0,1.0,0.2293779557326652,24.152045011520386,-127476.9140625,-126616.5859375,-141343.31715135495,-123879.64281672538,5,700
[32],0.005,3,0.7,0,0.4955369728062059,0.5801063869613041,0.3255165968567298,39.320998191833496,-385043.53125,-384843.9375,-412583.04483673844,-380115.0837960768,5,1200
[32],0.005,3,0.7,1,0.7810161533841543,0.9022900468767134,0.26567896272320496,38.84433317184448,-375686.75,-375423.9375,-403163.04483673844,-370695.0837960768,5,1200
[32],0.005,3,0.7,2,1.0,1.0,0.2042206870570893,37.51785707473755,-371023.8125,-368786.28125,-396525.38858673844,-364057.4275460768,5,1200
[32],0.005,3,0.7,3,0.9979140534343309,0.9966444584107735,0.23110855545732242,39.07670021057129,-374744.125,-371470.28125,-399209.38858673844,-366741.4275460768,5,1200
[32],0.005,3,0.7,4,0.9270065397464724,0.9367584866512763,0.2526988540733009,37.85092377662659,-377102.59375,-374781.65625,-402520.76358673844,-370052.8025460768,5,1200
[32],0.005,3,0.7,5,0.8636469773009791,0.9037488960619426,0.26042072451927006,38.27001214027405,-377691.0625,-375586.0,-403325.10733673844,-370857.1462960768,5,1200
[32],0.005,3,0.7,6,0.7560408178367813,0.8277694318818541,0.27367012366116217,40.04098415374756,-377954.5,-376496.15625,-404235.26358673844,-371767.3025460768,5,1200
[32],0.005,3,0.7,7,1.0,1.0,0.20439627987491132,37.13866209983826,-371629.21875,-369246.0,-396985.10733673844,-364517.1462960768,5,1200
[32],0.005,3,0.7,8,1.0,1.0,0.20069203510328723,37.22221517562866,-371701.3125,-369206.28125,-396945.38858673844,-364477.4275460768,5,1200
[32],0.005,3,0.7,9,0.2559801616746411,0.4185347280748855,0.36911590994640026,37.23770785331726,-391421.40625,-393480.59375,-421219.70108673844,-388751.7400460768,5,1200
[32],0.005,3,0.7,10,0.5458172755650882,0.6852291616288977,0.31805643231395664,37.19891667366028,-383473.96875,-383847.625,-411586.73233673844,-379118.7712960768,5,1200
[32],0.005,3,0.7,11,0.4780281905356661,0.5564788458998879,0.32075588624655754,36.82176685333252,-383339.75,-384464.59375,-412203.70108673844,-379735.7400460768,5,1200
